Colorado Brewery Bus,4,420 S Cherokee St,Denver,CO,80209,(720) 443-3635,39.7098923,-104.9922485,https://www.yelp.com/biz/colorado-brewery-bus-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
CB & Potts,3,1257 W 120th Ave,Westminster,CO,80234,(303) 451-5767,39.91474,-105.000826,https://www.yelp.com/biz/cb-and-potts-westminster-2?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Frolic Brewing,4,12910 Zuni St,Westminster,CO,80234,(303) 993-7443,39.9304956465138,-105.014900118113,https://www.yelp.com/biz/frolic-brewing-westminster?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Satire Brewing Company,4.5,12136 Grant Cir,Thornton,CO,80241,(720) 275-0667,39.91715,-104.98314,https://www.yelp.com/biz/satire-brewing-company-thornton?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Barrels & Bottles Brewery,4.5,600 12th St,Golden,CO,80401,(720) 328-3643,39.756474,-105.219933,https://www.yelp.com/biz/barrels-and-bottles-brewery-golden?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Coors,4,600 9th St,Golden,CO,80401,(303) 277-2337,39.7597,-105.22353,https://www.yelp.com/biz/coors-golden?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Golden City Brewery,4,920 12th St,Golden,CO,80403,(303) 279-8092,39.754597,-105.223757,https://www.yelp.com/biz/golden-city-brewery-golden?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Cannonball Creek Brewing Company,4.5,393 N Washington Ave,Golden,CO,80403,(303) 278-0111,39.768647,-105.235123,https://www.yelp.com/biz/cannonball-creek-brewing-company-golden?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
New Terrain Brewing Company,4.5,16401 Table Mountain Pkwy,Golden,CO,80403,(720) 697-7848,39.77959,-105.18596,https://www.yelp.com/biz/new-terrain-brewing-company-golden?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Mountain Toad Brewing,4,900 Washington Ave,Golden,CO,80401,(720) 638-3244,39.758041,-105.224129,https://www.yelp.com/biz/mountain-toad-brewing-golden?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
